Pz,Fp2,F7,Fp1,F4,F1,F3,F2,T3,Cz,T6,T5,T4,O2,C3,O1,C4,P3,P4,F8,Fz
-5.9701,-0.06472,-1.0458,-1.9704,-5.0761,-1.9704,-1.1111,-0.06472,-11.122,-3.1177,-13.595,-5.7236,-8.9106,-11.757,-3.9801,-6.6989,-9.1122,-8.0,-11.947,-5.0761,0.98522
-4.9751,1.877,2.8758,0.0,-1.0152,0.0,2.0139,1.877,-4.0871,1.8574,-10.654,-1.8211,-3.0569,-12.742,-0.99502,-7.6651,-4.0871,-6.0,-9.967,-3.0457,3.9409
-8.9552,-1.0356,-0.06536,-0.98522,-1.0152,-0.98522,4.0972,-1.0356,4.9581,1.8574,-12.614,-3.7724,-3.0569,-15.698,0.0,-11.53,-4.0871,-9.0,-12.937,-3.0457,4.9261
-6.9652,1.877,3.8562,1.9704,3.0457,1.9704,10.347,1.877,15.008,5.8375,-10.654,-2.7967,-3.0569,-12.742,4.9751,-8.6312,-2.0771,-6.0,-9.967,-3.0457,8.867
-4.9751,6.7314,6.7974,6.8966,7.1066,6.8966,14.514,6.7314,18.023001,8.8226,-4.7712,3.0569,-0.13008,-8.8013,6.9652,-6.6989,1.943,-3.0,-6.9967,2.0305,13.793
-4.9751,5.7605,4.8366,4.9261,6.0914,4.9261,9.3056,5.7605,-2.0771,4.8425,-2.8105,-2.7967,1.8211,-5.8456,1.99,-5.7327,1.943,-5.0,-6.0066,3.0457,8.867
-0.99502,3.8188,4.8366,2.9557,4.0609,2.9557,5.1389,3.8188,-11.122,3.8474,-0.84967,-3.7724,0.84553,-1.9048,1.99,0.06441,3.9531,-1.0,-2.0462,4.0609,5.9113
-2.9851,0.90615,3.8562,0.0,2.0305,0.0,4.0972,0.90615,-3.0821,1.8574,-3.7908,-4.748,-3.0569,-3.8752,2.9851,1.0306,0.93802,0.0,-3.0363,2.0305,3.9409
-4.9751,2.8479,2.8758,1.9704,4.0609,1.9704,8.2639,2.8479,-0.067,0.86235,-3.7908,-6.6992,-5.0081,-7.8161,4.9751,-3.8003,-2.0771,-1.0,-5.0165,1.0152,6.8966
-2.9851,6.7314,3.8562,6.8966,9.1371,6.8966,12.431,6.7314,-7.1022,4.8425,-2.8105,-2.7967,-3.0569,-6.8309,6.9652,-3.8003,-0.067,2.0,-3.0363,7.1066,12.808
